Customer name,Geo region,Total addressable market - 12 mo (TB),,,,,
ZY Pumping,Europe West,74.22219256,,Typical ramp,0-6 mo,70%,Amount of data ingested to storage over the first 2 quarters (6 months)
Xella Tenant,Asia East,141.8199671,,,6-9 mo,20%,Amount of data ingested to storage in the 3rd quarter
Wpp Group Usa Inc.,Europe West,315.311339,,,9-12 mo,10%,Amount of data ingested in the 4th quarter
Worldwide Commercial Business,India Central,346.82767,,,,,
Wim,US West,291.1142847,,,,,
Weidmüller Interface Gmbh & Co. Kg,Asia East,295.8320529,,,,,
Wcom Ab,Europe West,251.588288,,,,,
Walls Construction,Europe West,41.22750512,,,,,
Vertical Gmbh,Asia East,339.1259311,,,,,
Vedbaek Ltd,Europe West,365.3557529,,,,,
Vecomp Spa,Asia East,18.20764929,,,,,
Varonis Systems Ltd,Europe West,93.64155147,,,,,
Van Moer Group,Asia East,112.2457798,,,,,
Us Direct E Commerce Ltd T/A Eshopworld,Asia East,188.5869811,,,,,
Ubs Business Solutions Us Llc,Asia East,32.66902004,,,,,
Tt Network Integration Europe Gmbh,Europe West,363.1945434,,,,,
Transport For London,Asia East,214.6551287,,,,,
Totalmobile Limited,Europe West,381.5222396,,,,,
Tomoe,Europe West,312.1675983,,,,,
The Nottingham Trent University Azure 2,India Central,86.25937619,,,,,
The Nielsen Company (Us) Llc.,Europe West,300.8569585,,,,,
Temenos Headquarters Sa,Europe West,226.562359,,,,,
Systems Connect,Asia East,147.6485644,,,,,
Swiss Life Ag,India Central,35.92583969,,,,,
Surfmarket Bv,Asia East,287.5551365,,,,,
Supreme Commission For Tourism And National Heritage,Asia East,297.6090824,,,,,
Stephen,Asia East,11.70650108,,,,,
Steelcase Inc.,Asia East,22.37334404,,,,,
Statoil Asa,Europe West,224.5258651,,,,,
Ssu,Asia East,330.1450058,,,,,
Square Marble Technology Ltd,US West,245.782986,,,,,
Spotify,US West,173.2663197,,,,,
Soluzionidigitali Srl,Asia East,286.70676,,,,,
Solutions Direkt Ag,Asia East,223.3515096,,,,,
Software Delsol Sa,Asia East,250.4759665,,,,,
Software Colors (Pty) Ltd,Asia East,199.2283044,,,,,
Simpli Software As,Asia East,112.9138334,,,,,
Sii Polska Sp Zoo,Europe West,367.5368554,,,,,
Sigma Conso,Asia East,9.217991674,,,,,
Shell Information Technology International Bv,Europe West,264.0532798,,,,,
Sesam Service,Asia East,201.7857009,,,,,
Secwatch B.V.,Asia East,209.8511291,,,,,
Security,Asia East,38.77209216,,,,,
Secto Automotive Oy,Asia East,193.7697269,,,,,
Sebastien,US West,15.00262261,,,,,
Seafox,US West,181.9785255,,,,,
Sdg Consulting Ag,Asia East,33.71203006,,,,,
Sdc Ek. För.,Asia East,224.3125912,,,,,
Sd&C Solutions Development & Consulting Gmbh,Asia East,124.7710444,,,,,
Sd Worx Group Nv,Asia East,257.9378709,,,,,
Scully Systems Nv,Asia East,93.65401443,,,,,
Scs Smart Connected Solutions Gmbh,Asia East,144.466602,,,,,
Scroll Up,India Central,114.7254506,,,,,
Scriptsketch,India Central,104.5384678,,,,,
Screencheck Bv,Asia East,152.7340611,,,,,
Scottish Water,Europe West,6.957867515,,,,,
Schouw Informatisering Bv,Asia East,195.1668578,,,,,
Schauer Agrotronic Gmbh,Asia East,72.08644407,,,,,
Sas Louvre,Europe West,317.9862172,,,,,
Sarastia Oy,Europe West,129.1214549,,,,,
Sap America Inc.,Asia East,198.746579,,,,,
Santander Global Technology S.L.,Asia East,159.2404635,,,,,
Sanoma Oyj,Asia East,388.4939761,,,,,
Sandor,Asia East,238.9712296,,,,,
Sakis Tsolos,Asia East,341.6676321,,,,,
Rolls-Royce Plc,Europe West,224.9301904,,,,,
Robert Bosch Gmbh,Asia East,249.7584346,,,,,
Ricoh Europe Plc,US West,159.4652607,,,,,
Relator Oy,UK South,36.8993771,,,,,
Region Hovedstaden Koncern It,UK South,38.90421539,,,,,
Redflare Limited,UK South,218.0003785,,,,,
Red River Software Ltd,Europe West,100.8663977,,,,,
Rdt Limited,Europe West,309.0749482,,,,,
Ray O'donnell,Europe West,280.6115374,,,,,
Ralf,Asia East,277.943601,,,,,
Quonext,Asia East,21.68789362,,,,,
Qiagen Gmbh,UK South,307.8129687,,,,,
Provident Financial Management Services Ltd,Asia East,302.2499445,,,,,
Proquire Llc,Europe West,11.12520939,,,,,
Promotional Payments,Europe West,208.4169662,,,,,
Prima,Europe West,143.2306227,,,,,
Prgx Global Inc.,UK South,379.9926958,,,,,
Phil,Europe West,321.3106404,,,,,
Peter,Europe West,97.91258283,,,,,
Patrick,Europe West,167.9798377,,,,,
Pan,UK South,51.9544525,,,,,
Oxo,Asia East,301.2560335,,,,,
Origin Comfert Redoxim,UK South,46.22401875,,,,,
Orbital Education,UK South,61.32702019,,,,,
Olivier,US West,307.5032803,,,,,
Olavi Laitala,UK South,138.5552352,,,,,
Oas,Asia East,210.1004973,,,,,
Novo Nordisk A/S,Europe West,212.8834175,,,,,
Norkart,Asia East,17.58077733,,,,,
Nicolas,India Central,343.3477426,,,,,
Netgem Sa,Asia East,70.65040831,,,,,
Nagravision Sa,Asia East,366.4935442,,,,,
Moto-Profil Sp. Z O.O.,US West,304.1002481,,,,,
Methodworx Ltd,Asia East,88.70189999,,,,,
Mehmet Akif,Asia East,57.15614633,,,,,
Matti,US West,134.4191889,,,,,
Masraff,Europe West,36.59968241,,,,,
Marketing And Consumer Business,Asia East,150.8940873,,,,,
Marel India Pvt Ltd,Europe West,240.7863958,,,,,
Manor Ag,Europe West,235.8169398,,,,,
Magnetix,Asia East,158.7304193,,,,,
Maana Inc,Asia East,42.22387742,,,,,
M365 Core,Asia East,152.1780856,,,,,
Lukas,Europe West,53.15415964,,,,,
Lego System A/S,Europe West,125.1001782,,,,,
Landmark Information Group Limited,Europe West,178.6748093,,,,,
Kvantbit,Europe West,198.3078542,,,,,
Kpmg Llp,Europe West,263.1290488,,,,,
Koen Remmerswaal,Asia East,345.9712107,,,,,
Kmd A/S,Europe West,93.05642511,,,,,
Kidbrooke Advisory Ab,Asia East,85.41833042,,,,,
Jonas Hjørdie,Europe West,92.60661928,,,,,
Iten Solutions - Sistemas De Informação S.A.,Asia East,262.2582249,,,,,
Insurance Services Office Inc.,Europe West,247.7485141,,,,,
Inspop.Com Limited,Europe West,223.6040245,,,,,
Inovativ,Asia East,321.906573,,,,,
Infoshare I Stockholm Ab,Asia East,286.5951905,,,,,
Info Support B.V.,Europe West,254.9169216,,,,,
Ina,Asia East,30.75632311,,,,,
Imagen Ltd,Asia East,303.770156,,,,,
Hutchison International Limited,Asia East,360.9335501,,,,,
